# northamerica_usa_wa099 - Lake Minotaur Medium - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_wa099 - Lake Minotaur Medium - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Lake Minotaur Medium
#	Location:
#	Country: United States
#	Northernmost_Latitude: 47.83
#	Southernmost_Latitude: 47.83
#	Easternmost_Longitude: -121.0
#	Westernmost_Longitude: -121.0
#	Elevation: 1465 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_wa099B
#	Earliest_Year: 1775
#	Most_Recent_Year: 1992
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"4.55810394031","T2":"14.9072381976","M1":"0.0223626838282","M2":"0.408405340263"}}
#--------------------
# Species
#	Species_Name: mountain hemlock
#	Species_Code: TSME
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1775	0.693
1776	0.996
1777	1.216
1778	1.195
1779	0.997
1780	1.034
1781	0.758
1782	1.012
1783	1.075
1784	1.143
1785	0.846
1786	0.934
1787	0.752
1788	0.973
1789	0.717
1790	0.907
1791	1.302
1792	1.164
1793	1.048
1794	1.077
1795	0.981
1796	1.037
1797	0.705
1798	0.812
1799	0.924
1800	1.119
1801	0.804
1802	0.797
1803	0.808
1804	0.885
1805	0.912
1806	0.651
1807	0.715
1808	0.703
1809	0.86
1810	0.507
1811	0.615
1812	0.872
1813	0.715
1814	0.989
1815	0.851
1816	1.027
1817	1.031
1818	0.93
1819	0.917
1820	0.617
1821	0.869
1822	0.985
1823	0.782
1824	0.923
1825	1.024
1826	1.014
1827	1.042
1828	1.362
1829	1.369
1830	1.054
1831	0.992
1832	0.999
1833	1.257
1834	1.272
1835	0.993
1836	1.001
1837	1.145
1838	1.099
1839	1.226
1840	0.75
1841	0.951
1842	1.054
1843	1.169
1844	0.987
1845	0.835
1846	0.765
1847	0.574
1848	0.728
1849	0.576
1850	0.633
1851	0.92
1852	0.85
1853	1.017
1854	0.966
1855	1.1
1856	0.988
1857	1.261
1858	1.2
1859	1.225
1860	1.162
1861	1.351
1862	1.062
1863	1.431
1864	1.222
1865	1.039
1866	0.979
1867	1.073
1868	1.155
1869	0.897
1870	0.894
1871	0.754
1872	0.942
1873	1.061
1874	1.384
1875	1.147
1876	0.852
1877	0.993
1878	0.909
1879	0.933
1880	0.824
1881	1.038
1882	0.97
1883	0.944
1884	1.091
1885	1.38
1886	1.348
1887	0.927
1888	1.145
1889	1.0
1890	1.071
1891	1.057
1892	1.159
1893	0.973
1894	1.076
1895	1.109
1896	0.75
1897	0.951
1898	0.927
1899	0.675
1900	1.088
1901	1.334
1902	1.369
1903	1.168
1904	1.486
1905	1.118
1906	1.318
1907	1.164
1908	1.071
1909	1.038
1910	1.245
1911	1.175
1912	1.156
1913	1.319
1914	1.782
1915	1.304
1916	0.925
1917	1.002
1918	1.1
1919	1.097
1920	0.859
1921	1.016
1922	0.927
1923	0.957
1924	0.93
1925	0.752
1926	0.919
1927	0.765
1928	0.752
1929	0.832
1930	0.661
1931	0.6
1932	0.573
1933	0.722
1934	0.947
1935	0.793
1936	0.713
1937	0.972
1938	1.144
1939	0.944
1940	0.8
1941	0.786
1942	0.815
1943	0.781
1944	0.848
1945	0.761
1946	0.789
1947	1.037
1948	1.1
1949	1.195
1950	1.203
1951	1.305
1952	0.997
1953	0.808
1954	0.869
1955	0.979
1956	0.873
1957	1.203
1958	1.106
1959	1.059
1960	1.057
1961	0.958
1962	1.01
1963	1.046
1964	1.209
1965	1.323
1966	1.747
1967	1.2
1968	0.822
1969	0.709
1970	0.945
1971	0.861
1972	0.745
1973	0.72
1974	0.611
1975	0.741
1976	0.741
1977	0.808
1978	0.963
1979	1.07
1980	0.923
1981	1.051
1982	1.103
1983	1.128
1984	1.051
1985	1.043
1986	0.776
1987	1.085
1988	1.031
1989	0.92
1990	1.026
1991	0.541
1992	0.652
