# northamerica_usa_wy022 - Medicine Bow Peak - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_wy022 - Medicine Bow Peak - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Medicine Bow Peak
#	Location:
#	Country: United States
#	Northernmost_Latitude: 41.3
#	Southernmost_Latitude: 41.3
#	Easternmost_Longitude: -107.7
#	Westernmost_Longitude: -107.7
#	Elevation: 3150 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_wy022B
#	Earliest_Year: 1717
#	Most_Recent_Year: 1983
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"5.10884807078","T2":"19.3289244306","M1":"0.0222308396464","M2":"0.151463398695"}}
#--------------------
# Species
#	Species_Name: Engelmann spruce
#	Species_Code: PCEN
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1717	0.989
1718	0.998
1719	0.748
1720	0.933
1721	1.178
1722	0.93
1723	0.648
1724	1.154
1725	1.125
1726	1.076
1727	1.088
1728	1.095
1729	0.826
1730	0.863
1731	0.917
1732	0.896
1733	0.855
1734	0.877
1735	0.742
1736	0.695
1737	0.691
1738	0.709
1739	0.902
1740	0.646
1741	0.819
1742	0.859
1743	0.817
1744	0.861
1745	0.742
1746	0.782
1747	0.843
1748	0.763
1749	0.742
1750	0.845
1751	1.045
1752	0.942
1753	1.094
1754	0.81
1755	0.918
1756	0.955
1757	1.234
1758	0.774
1759	0.899
1760	0.698
1761	0.752
1762	1.199
1763	0.972
1764	0.917
1765	1.28
1766	0.999
1767	1.175
1768	1.098
1769	0.976
1770	0.865
1771	1.146
1772	1.015
1773	1.175
1774	1.084
1775	1.094
1776	1.018
1777	1.014
1778	1.009
1779	0.82
1780	1.115
1781	1.088
1782	0.991
1783	1.12
1784	1.228
1785	1.255
1786	1.188
1787	1.214
1788	1.217
1789	0.97
1790	1.112
1791	0.888
1792	1.102
1793	0.893
1794	0.858
1795	1.235
1796	1.257
1797	1.317
1798	1.349
1799	1.309
1800	1.196
1801	1.324
1802	1.421
1803	1.071
1804	1.16
1805	1.238
1806	1.198
1807	1.158
1808	1.136
1809	0.913
1810	0.953
1811	1.194
1812	1.236
1813	0.988
1814	0.919
1815	1.041
1816	1.179
1817	1.016
1818	0.808
1819	1.037
1820	0.966
1821	0.989
1822	0.9
1823	0.846
1824	0.911
1825	0.855
1826	1.029
1827	1.163
1828	1.169
1829	1.171
1830	1.163
1831	1.29
1832	0.79
1833	1.272
1834	1.004
1835	0.981
1836	0.713
1837	0.904
1838	0.668
1839	0.644
1840	0.679
1841	0.807
1842	0.677
1843	0.858
1844	0.738
1845	0.668
1846	0.807
1847	0.688
1848	0.758
1849	0.869
1850	1.056
1851	0.929
1852	0.994
1853	0.804
1854	0.99
1855	1.023
1856	1.096
1857	1.229
1858	1.075
1859	1.169
1860	0.854
1861	1.118
1862	1.074
1863	1.197
1864	1.093
1865	0.837
1866	1.13
1867	1.301
1868	1.519
1869	1.168
1870	0.913
1871	1.01
1872	0.748
1873	1.221
1874	1.108
1875	0.901
1876	1.105
1877	0.972
1878	0.921
1879	0.666
1880	0.547
1881	0.928
1882	0.621
1883	0.555
1884	0.756
1885	0.951
1886	1.151
1887	0.864
1888	0.974
1889	0.8
1890	0.768
1891	0.719
1892	0.877
1893	0.805
1894	0.945
1895	0.66
1896	0.849
1897	0.909
1898	1.225
1899	0.781
1900	1.081
1901	0.892
1902	0.702
1903	0.854
1904	0.706
1905	0.769
1906	0.576
1907	0.873
1908	0.982
1909	1.134
1910	0.953
1911	0.884
1912	0.971
1913	0.95
1914	0.941
1915	0.872
1916	0.909
1917	0.988
1918	1.018
1919	1.061
1920	0.673
1921	0.908
1922	1.015
1923	0.841
1924	0.703
1925	0.761
1926	0.746
1927	0.9
1928	1.052
1929	1.256
1930	1.206
1931	1.1
1932	1.064
1933	1.113
1934	0.877
1935	0.906
1936	0.877
1937	0.831
1938	0.893
1939	0.973
1940	1.054
1941	0.91
1942	0.919
1943	1.082
1944	1.062
1945	1.143
1946	0.998
1947	0.994
1948	1.0
1949	1.166
1950	0.982
1951	1.253
1952	0.998
1953	1.236
1954	1.148
1955	1.261
1956	1.11
1957	1.268
1958	1.182
1959	1.287
1960	1.082
1961	1.188
1962	1.138
1963	1.43
1964	1.605
1965	1.367
1966	1.329
1967	0.801
1968	0.86
1969	0.698
1970	1.003
1971	0.935
1972	0.888
1973	0.863
1974	1.128
1975	1.104
1976	1.113
1977	1.096
1978	1.142
1979	1.161
1980	1.004
1981	0.956
1982	0.968
1983	1.064
