# northamerica_usa_wy026 - Fossil Butte National Monument - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_wy026 - Fossil Butte National Monument - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Fossil Butte National Monument
#	Location:
#	Country: United States
#	Northernmost_Latitude: 41.87
#	Southernmost_Latitude: 41.87
#	Easternmost_Longitude: -110.8
#	Westernmost_Longitude: -110.8
#	Elevation: 2225 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_wy026B
#	Earliest_Year: 1480
#	Most_Recent_Year: 1998
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"3.74778620315","T2":"15.9372770955","M1":"0.0226620461838","M2":"0.476315520342"}}
#--------------------
# Species
#	Species_Name: limber pine
#	Species_Code: PIFL
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1480	0.821
1481	0.816
1482	0.71
1483	0.744
1484	0.876
1485	0.813
1486	1.239
1487	1.137
1488	1.209
1489	0.875
1490	0.907
1491	1.06
1492	1.346
1493	2.347
1494	1.829
1495	1.521
1496	1.374
1497	1.255
1498	1.381
1499	0.964
1500	1.085
1501	1
1502	0.871
1503	1.05
1504	1.343
1505	0.863
1506	1.08
1507	1.045
1508	1.114
1509	1.047
1510	1.028
1511	0.987
1512	0.985
1513	0.919
1514	1.286
1515	0.945
1516	0.684
1517	1.05
1518	0.773
1519	0.803
1520	0.618
1521	0.807
1522	0.872
1523	1.145
1524	1.287
1525	1.266
1526	1.236
1527	1.283
1528	0.664
1529	0.935
1530	0.852
1531	1.026
1532	1.015
1533	0.81
1534	0.783
1535	1.243
1536	1.116
1537	1.152
1538	1.167
1539	1.125
1540	0.795
1541	1.134
1542	0.85
1543	0.736
1544	0.99
1545	0.827
1546	1.06
1547	0.805
1548	0.588
1549	0.881
1550	0.99
1551	1.297
1552	0.736
1553	1.695
1554	1.125
1555	1.008
1556	0.863
1557	1.16
1558	0.899
1559	1.113
1560	1.515
1561	1.063
1562	1.324
1563	1.247
1564	1.232
1565	1.087
1566	1.076
1567	1.331
1568	1.3
1569	1.043
1570	1.323
1571	1.426
1572	1.463
1573	1.251
1574	1.019
1575	1.167
1576	0.847
1577	1.357
1578	1.06
1579	0.878
1580	0.48
1581	1.04
1582	0.825
1583	1.241
1584	0.632
1585	0.687
1586	1.184
1587	0.863
1588	0.898
1589	1.215
1590	0.866
1591	1.009
1592	0.732
1593	0.757
1594	0.912
1595	0.977
1596	1.23
1597	1.095
1598	0.735
1599	1.202
1600	0.858
1601	1.29
1602	1.016
1603	0.944
1604	1.104
1605	0.86
1606	1.21
1607	1.054
1608	1.325
1609	1.305
1610	0.852
1611	1.289
1612	1.294
1613	1.267
1614	1.011
1615	1.252
1616	1.652
1617	1.705
1618	1.429
1619	0.971
1620	1.471
1621	1.432
1622	1.875
1623	1.67
1624	1.32
1625	1.241
1626	1.008
1627	0.823
1628	1.271
1629	0.936
1630	0.82
1631	0.904
1632	0.332
1633	1.093
1634	0.888
1635	0.919
1636	0.996
1637	0.72
1638	0.93
1639	0.765
1640	1.149
1641	0.904
1642	1.137
1643	0.679
1644	1.017
1645	0.579
1646	0.524
1647	0.746
1648	0.901
1649	0.809
1650	0.883
1651	0.792
1652	0.858
1653	0.706
1654	0.805
1655	1.082
1656	0.845
1657	0.882
1658	0.647
1659	0.868
1660	0.591
1661	0.747
1662	0.67
1663	0.773
1664	0.71
1665	0.792
1666	0.774
1667	0.374
1668	0.651
1669	0.743
1670	1.02
1671	0.843
1672	0.987
1673	1.237
1674	1.115
1675	0.739
1676	1.277
1677	0.903
1678	0.955
1679	0.647
1680	1.256
1681	0.716
1682	1.005
1683	1.184
1684	0.918
1685	0.866
1686	0.738
1687	1.108
1688	0.945
1689	0.873
1690	0.729
1691	0.943
1692	1.079
1693	1.04
1694	1.085
1695	1.023
1696	0.908
1697	1.011
1698	1.047
1699	1.146
1700	1.095
1701	1.258
1702	1.384
1703	1.296
1704	0.996
1705	1.017
1706	0.775
1707	0.511
1708	0.667
1709	0.602
1710	0.748
1711	0.692
1712	0.795
1713	0.804
1714	0.896
1715	0.928
1716	0.989
1717	0.636
1718	0.853
1719	1.131
1720	1.352
1721	0.885
1722	0.833
1723	0.966
1724	0.909
1725	0.86
1726	1.136
1727	1.284
1728	1.259
1729	1.069
1730	1.064
1731	1.197
1732	1.224
1733	1.666
1734	1.471
1735	0.815
1736	1.113
1737	1.038
1738	0.992
1739	1.02
1740	1.255
1741	1.207
1742	0.961
1743	1.035
1744	0.712
1745	0.708
1746	0.956
1747	0.955
1748	1.437
1749	1.4
1750	1.479
1751	1.626
1752	1.361
1753	1.289
1754	1.102
1755	1.263
1756	0.738
1757	1.082
1758	0.868
1759	0.774
1760	0.781
1761	1.227
1762	0.771
1763	0.901
