# southamerica_arge070 - El Centinela - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: southamerica_arge070 - El Centinela - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: El Centinela
#	Location:
#	Country: Argentina
#	Northernmost_Latitude: -40.73
#	Southernmost_Latitude: -40.73
#	Easternmost_Longitude: -71.1
#	Westernmost_Longitude: -71.1
#	Elevation: 1050 m
#--------------------
# Data_Collection
#	Collection_Name: southamerica_arge070B
#	Earliest_Year: 1600
#	Most_Recent_Year: 1989
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[-12, 1, 2]"}}{"VSLite_parameters":{"T1":"1.89179945787","T2":"11.1745730964","M1":"0.0230151397504","M2":"0.628887151489"}}
#--------------------
# Species
#	Species_Name: Chilean cedar
#	Species_Code: AUCH
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1600	1.379
1601	1.249
1602	0.893
1603	0.419
1604	1.14
1605	1.498
1606	1.087
1607	1.056
1608	0.968
1609	1.45
1610	1.025
1611	0.945
1612	0.985
1613	0.767
1614	1.079
1615	0.723
1616	1.274
1617	1.432
1618	1.585
1619	1.791
1620	0.906
1621	1.096
1622	0.839
1623	1.074
1624	1.014
1625	0.469
1626	0.916
1627	0.995
1628	0.858
1629	0.667
1630	1.251
1631	1.166
1632	0.736
1633	0.826
1634	1.117
1635	2.088
1636	1.506
1637	1.159
1638	1.477
1639	1.053
1640	1.057
1641	0.908
1642	1.64
1643	1.252
1644	1.511
1645	0.756
1646	0.82
1647	1.169
1648	1.59
1649	1.475
1650	0.839
1651	0.95
1652	1.402
1653	1.575
1654	1.34
1655	0.7
1656	1.181
1657	0.777
1658	1.455
1659	1.567
1660	1.065
1661	1.33
1662	0.992
1663	0.831
1664	0.587
1665	0.683
1666	0.832
1667	0.803
1668	1.324
1669	0.728
1670	0.918
1671	1.143
1672	0.73
1673	0.701
1674	1.27
1675	0.797
1676	0.677
1677	0.573
1678	1.022
1679	1.284
1680	1.128
1681	0.4
1682	0.434
1683	0.741
1684	0.741
1685	0.796
1686	0.827
1687	0.66
1688	1.083
1689	0.668
1690	0.773
1691	0.566
1692	0.627
1693	0.69
1694	1.021
1695	1.003
1696	1.121
1697	1.153
1698	0.769
1699	0.591
1700	0.463
1701	0.587
1702	0.74
1703	1.33
1704	1.249
1705	0.409
1706	0.465
1707	0.69
1708	0.944
1709	1.024
1710	0.94
1711	0.608
1712	0.972
1713	0.733
1714	0.724
1715	0.958
1716	0.681
1717	0.577
1718	0.579
1719	0.673
1720	1.572
1721	1.08
1722	1.355
1723	1.397
1724	1.386
1725	0.897
1726	0.751
1727	1.311
1728	1.64
1729	1.013
1730	0.829
1731	0.925
1732	0.735
1733	0.681
1734	0.906
1735	0.76
1736	0.965
1737	0.579
1738	0.621
1739	1.021
1740	0.885
1741	1.313
1742	1.016
1743	0.753
1744	1.264
1745	0.632
1746	0.746
1747	0.455
1748	0.819
1749	1.427
1750	1.386
1751	0.848
1752	0.792
1753	1.241
1754	1.074
1755	0.896
1756	0.674
1757	0.893
1758	0.876
1759	0.815
1760	1.698
1761	1.238
1762	0.61
1763	0.98
1764	0.877
1765	0.964
1766	1.597
1767	0.719
1768	0.984
1769	1.062
1770	0.966
1771	1.092
1772	1.076
1773	0.967
1774	1.289
1775	1.11
1776	1.031
1777	1.236
1778	0.727
1779	0.821
1780	0.766
1781	1.161
1782	0.78
1783	0.823
1784	1.159
1785	0.832
1786	0.879
1787	0.882
1788	1.13
1789	0.842
1790	1.118
1791	1.115
1792	0.901
1793	1.137
1794	1.404
1795	0.812
1796	0.691
1797	1.601
1798	1.163
1799	1.165
1800	1.358
1801	1.416
1802	1.034
1803	1.243
1804	0.734
1805	0.791
1806	0.644
1807	0.542
1808	1.168
1809	1.099
1810	1.152
1811	1.074
1812	1.326
1813	0.205
1814	0.503
1815	0.753
1816	0.677
1817	0.753
1818	1.077
1819	0.587
1820	0.429
1821	0.403
1822	1.054
1823	1.161
1824	0.999
1825	0.868
1826	0.803
1827	0.542
1828	0.662
1829	1.199
1830	1.403
1831	1.114
1832	1.019
1833	1.415
1834	1.785
1835	0.97
1836	0.833
1837	1.259
1838	1.006
1839	0.851
1840	1.042
1841	0.559
1842	0.844
1843	1.739
1844	1.197
1845	0.502
1846	0.787
1847	0.669
1848	1.41
1849	0.833
1850	0.845
1851	0.824
1852	1.409
1853	1.285
1854	0.974
1855	1.413
1856	1.943
1857	1.781
1858	1.299
1859	0.755
1860	1.018
1861	0.826
1862	0.804
1863	1.312
1864	0.837
1865	0.47
1866	0.537
1867	0.627
1868	1.28
1869	1.524
1870	1.089
1871	0.851
1872	1.221
1873	1.025
1874	1.009
1875	0.678
1876	1.189
1877	0.782
1878	0.898
1879	1.142
1880	0.907
