# southamerica_arge087 - Río Frias - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: southamerica_arge087 - Río Frias - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganovâ€“Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4â€“6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL modelâ€™s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Río Frias
#	Location:
#	Country: Argentina
#	Northernmost_Latitude: -41.1
#	Southernmost_Latitude: -41.1
#	Easternmost_Longitude: -71.8
#	Westernmost_Longitude: -71.8
#	Elevation: 950 m
#--------------------
# Data_Collection
#	Collection_Name: southamerica_arge087B
#	Earliest_Year: 888
#	Most_Recent_Year: 1991
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[-12, 1, 2]"}}{"VSLite_parameters":{"T1":"2.6592336542","T2":"12.4486968324","M1":"0.0226672452743","M2":"0.578804716454"}} A negative exponential detrending approached 0, thus this dataset was alternately standardized using a 75% cutoff smoothing spline methodology in ARSTAN, following the methodology outlined in Breitenmoser 2014.
#--------------------
# Species
#	Species_Name: alerce cypress
#	Species_Code: FICU
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
888	1.116
889	0.982
890	0.867
891	0.837
892	0.972
893	0.948
894	1.417
895	1.16
896	1.056
897	1.038
898	0.847
899	0.996
900	1.071
901	1.197
902	1.135
903	1.249
904	1.225
905	1.282
906	1.239
907	1.46
908	1.223
909	1.168
910	1.169
911	0.937
912	0.944
913	0.869
914	0.888
915	0.933
916	0.972
917	1.011
918	0.955
919	1.006
920	1.128
921	1.04
922	0.996
923	0.907
924	0.895
925	0.716
926	0.755
927	0.781
928	0.775
929	0.866
930	0.88
931	0.952
932	1.192
933	1.316
934	1.149
935	1.143
936	0.955
937	1.093
938	1.081
939	0.892
940	0.854
941	1.064
942	0.993
943	0.948
944	1.021
945	1.048
946	1.359
947	1.467
948	1.309
949	1.165
950	1.159
951	1.12
952	1.035
953	0.949
954	0.896
955	1.091
956	1.012
957	1.046
958	0.987
959	0.907
960	0.955
961	0.928
962	0.909
963	1.018
964	0.971
965	0.898
966	0.769
967	1.117
968	1.267
969	1.33
970	1.099
971	1.039
972	1.019
973	1.061
974	1.069
975	0.994
976	1.112
977	1.238
978	1.369
979	1.225
980	1.105
981	0.96
982	0.766
983	0.884
984	1.221
985	0.976
986	1.054
987	1.149
988	1.178
989	1.012
990	0.866
991	0.994
992	1.039
993	0.923
994	0.941
995	0.703
996	0.874
997	0.79
998	0.827
999	0.946
1000	0.807
1001	0.899
1002	0.926
1003	1.07
1004	0.979
1005	1.031
1006	0.599
1007	0.907
1008	1.008
1009	1.093
1010	1.108
1011	1.189
1012	1.051
1013	0.862
1014	0.931
1015	1.181
1016	1.178
1017	1.214
1018	1.275
1019	1.233
1020	0.976
1021	0.977
1022	1.249
1023	1.238
1024	1
1025	0.985
1026	1.079
1027	1.071
1028	1.019
1029	0.857
1030	0.699
1031	0.89
1032	1.098
1033	0.827
1034	0.923
1035	0.815
1036	0.723
1037	0.852
1038	0.802
1039	0.773
1040	0.909
1041	0.978
1042	1.007
1043	0.974
1044	0.875
1045	0.994
1046	0.657
1047	0.785
1048	0.714
1049	0.932
1050	0.877
1051	0.851
1052	0.764
1053	1.106
1054	1.054
1055	1.052
1056	0.946
1057	1.092
1058	1.31
1059	1.241
1060	1.416
1061	1.311
1062	1.7
1063	1.179
1064	1.079
1065	1.362
1066	1.58
1067	1.382
1068	1.05
1069	1.041
1070	0.788
1071	0.858
1072	0.873
1073	0.851
1074	0.821
1075	0.708
1076	1.285
1077	1.378
1078	1.298
1079	0.975
1080	1.116
1081	1.144
1082	0.853
1083	1.016
1084	1.218
1085	1.163
1086	1.132
1087	0.578
1088	0.734
1089	0.865
1090	0.908
1091	1.113
1092	0.921
1093	0.697
1094	0.868
1095	1.107
1096	0.762
1097	0.824
1098	0.728
1099	0.848
1100	0.694
1101	0.729
1102	0.733
1103	0.868
1104	0.916
1105	0.702
1106	0.927
1107	0.871
1108	0.934
1109	1.082
1110	0.827
1111	0.975
1112	0.94
1113	0.902
1114	1.047
1115	1.055
1116	0.945
1117	0.885
1118	0.588
1119	0.962
1120	0.877
1121	0.916
1122	1.01
1123	0.856
1124	0.757
1125	0.677
1126	0.547
1127	0.785
1128	0.61
1129	0.758
1130	0.71
1131	0.79
1132	0.578
1133	0.767
1134	0.769
1135	0.629
1136	0.63
1137	0.991
1138	0.876
1139	0.721
1140	0.847
1141	0.533
1142	0.639
1143	0.78
1144	0.507
1145	0.643
1146	0.862
1147	0.64
1148	0.904
1149	0.901
1150	1.065
1151	0.871
1152	1.122
1153	0.951
1154	0.804
1155	0.788
1156	1.024
1157	1.065
1158	0.804
1159	1.216
1160	1.082
1161	1.288
1162	1.236
1163	0.765
1164	1.127
1165	0.938
1166	1.206
1167	1.047
1168	1.092
1169	1.198
1170	1.048
1171	1.146
1172	1.093
1173	0.861
1174	0.941
1175	1.208
1176	0.996
1177	0.992
1178	1.091
1179	0.884
1180	0.843
1181	0.803
1182	0.799
1183	0.819
1184	0.738
1185	0.638
1186	0.852
1187	0.867
1188	1.154
1189	1.071
1190	1.545
1191	1.198
1192	1.052
1193	1.362
1194	0.72
1195	1.083
