# southamerica_arge088 - Río alerce cypress - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: southamerica_arge088 - Río alerce cypress - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganovâ€“Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4â€“6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL modelâ€™s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Río alerce cypress
#	Location:
#	Country: Argentina
#	Northernmost_Latitude: -41.17
#	Southernmost_Latitude: -41.17
#	Easternmost_Longitude: -71.78
#	Westernmost_Longitude: -71.78
#	Elevation: 950 m
#--------------------
# Data_Collection
#	Collection_Name: southamerica_arge088B
#	Earliest_Year: 864
#	Most_Recent_Year: 1991
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[-12, 1, 2]"}}{"VSLite_parameters":{"T1":"2.42623572192","T2":"11.5653338053","M1":"0.0230697632061","M2":"0.60410228878"}}
#--------------------
# Species
#	Species_Name: alerce cypress
#	Species_Code: FICU
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
864	0.563
865	0.587
866	0.692
867	0.514
868	0.458
869	0.587
870	0.74
871	0.692
872	0.781
873	0.611
874	0.466
875	0.676
876	0.554
877	0.458
878	0.482
879	0.312
880	0.409
881	0.474
882	0.466
883	0.441
884	0.595
885	0.474
886	0.457
887	0.417
888	0.53
889	0.7
890	1.031
891	1.435
892	1.637
893	1.677
894	1.443
895	1.112
896	1.088
897	1.34
898	1.31
899	1.395
900	1.265
901	1.5
902	1.329
903	1.346
904	1.629
905	1.557
906	1.481
907	1.351
908	1.389
909	1.345
910	1.315
911	1.33
912	1.484
913	1.087
914	0.98
915	0.716
916	1.039
917	1.386
918	1.319
919	1.201
920	1.335
921	1.274
922	1.413
923	1.459
924	1.104
925	1.077
926	1.091
927	1.336
928	1.16
929	1.077
930	1.685
931	1.362
932	1.685
933	2.081
934	1.669
935	1.54
936	1.305
937	1.322
938	1.135
939	1.478
940	1.29
941	1.273
942	1.428
943	1.123
944	1.239
945	1.291
946	1.669
947	1.515
948	1.36
949	1.296
950	1.108
951	0.988
952	1.005
953	0.747
954	0.764
955	1.054
956	1.113
957	1.057
958	0.954
959	0.903
960	0.77
961	0.81
962	0.938
963	1.058
964	1.38
965	1.38
966	1.213
967	1.408
968	1.278
969	1.602
970	1.575
971	1.325
972	1.519
973	1.51
974	1.213
975	1.26
976	0.871
977	0.93
978	1.056
979	1.011
980	1.003
981	0.643
982	0.95
983	0.914
984	1.077
985	1.142
986	1.078
987	1.088
988	0.879
989	0.813
990	0.865
991	1.047
992	1.214
993	1.3
994	0.928
995	0.992
996	0.706
997	0.792
998	0.815
999	0.828
1000	0.705
1001	0.809
1002	0.757
1003	1.157
1004	0.976
1005	0.852
1006	1.404
1007	1.269
1008	1.093
1009	1
1010	0.958
1011	0.8
1012	0.722
1013	0.741
1014	0.722
1015	0.705
1016	0.685
1017	0.889
1018	0.958
1019	1.109
1020	0.831
1021	0.982
1022	1.055
1023	0.995
1024	0.824
1025	0.781
1026	0.611
1027	0.725
1028	0.787
1029	1.028
1030	0.985
1031	1.494
1032	1.272
1033	1.204
1034	1.267
1035	0.895
1036	0.829
1037	0.766
1038	0.798
1039	0.713
1040	0.841
1041	0.703
1042	0.804
1043	0.704
1044	0.75
1045	0.702
1046	0.713
1047	0.851
1048	0.73
1049	0.77
1050	0.556
1051	0.655
1052	0.77
1053	1.164
1054	0.925
1055	0.924
1056	1.017
1057	0.931
1058	0.995
1059	1.238
1060	1.196
1061	1.588
1062	1.375
1063	1.374
1064	0.963
1065	1.246
1066	1.016
1067	1.105
1068	1.183
1069	0.985
1070	1.07
1071	1.119
1072	1.061
1073	0.754
1074	0.791
1075	0.855
1076	1.447
1077	1.439
1078	1.28
1079	0.935
1080	0.832
1081	1.033
1082	0.893
1083	0.722
1084	0.819
1085	0.795
1086	0.625
1087	0.576
1088	0.803
1089	1.035
1090	0.975
1091	1.046
1092	0.985
1093	0.927
1094	1.043
1095	1.072
1096	0.646
1097	0.918
1098	1.042
1099	1.032
1100	1.035
1101	1.019
1102	1.059
1103	1.034
1104	0.778
1105	0.886
1106	0.746
1107	0.856
1108	0.781
1109	0.996
1110	0.801
1111	0.911
1112	0.791
1113	0.75
1114	0.868
1115	0.891
1116	0.793
1117	0.866
1118	0.675
1119	0.953
1120	0.962
1121	0.874
1122	0.824
1123	0.994
1124	0.83
1125	0.883
1126	0.744
1127	1.027
1128	0.714
1129	0.881
1130	0.772
1131	0.661
1132	0.783
1133	0.895
1134	0.747
1135	0.764
1136	0.816
1137	0.793
1138	0.784
1139	0.661
1140	0.76
1141	0.59
1142	0.738
1143	0.659
1144	0.468
1145	0.652
1146	0.815
1147	0.806
1148	0.882
1149	0.896
1150	0.944
1151	0.866
1152	0.979
1153	0.951
1154	0.831
1155	0.884
1156	0.937
1157	0.858
1158	0.882
1159	0.859
1160	0.975
1161	1.213
1162	0.917
1163	0.889
1164	0.951
1165	0.873
